[2026-08-08 00:15:07] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:25:34] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:25:34] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:25:34] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:25:34] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:25:34] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:25:35] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:25:35] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:25:35] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:25:35] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:27:35] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:29:38] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:31:40] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:31:40] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:31:40] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:31:40] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:33:45] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:35:48] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:37:48] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:37:48] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:37:48] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:37:48] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:39:39] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:41:31] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:43:23] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:43:23] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:45:23] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:47:23] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:49:21] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:49:21] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:49:21] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:49:21] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:49:22] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:49:22] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:49:22] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:49:22] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:49:22] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:49:23] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:49:23] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:49:23] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:49:23] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:49:23] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:49:23] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:49:24] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:49:24] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:49:24] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:51:20] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:53:17] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:55:13] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:57:10] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 01:59:06] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:01:05] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:03:03] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:05:02] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:06:59] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:08:49] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:10:40] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:12:31] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:14:29] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:16:27] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:18:25] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:20:22] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:22:19] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:23:41] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:23:41] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:23:42] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:23:42] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:23:42] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:23:42] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:23:42] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:25:44] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:27:45] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:29:47] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:31:46] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:33:47] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:35:46] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:37:47] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:39:49] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:41:50] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:41:50] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:43:54] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:45:58] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:47:57] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:47:58] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:50:01] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:52:03] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:54:03] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:55:59] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:57:53] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 02:59:49] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:01:52] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:03:54] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:05:55] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:07:59] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:10:02] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:12:05] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:12:05] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:12:05] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:12:06] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:12:06] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:12:06] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:12:06] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:12:06] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:12:07] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:12:07] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:14:09] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:16:10] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:18:03] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:18:04] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:18:04] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:20:09] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:22:03] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:12] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:12] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:12] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:13] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:13] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:13] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:13] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:14] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:14] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:14] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:14] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:15] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:15] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:15] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:15] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:15] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:16] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:16] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:16] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:16] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:17] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:17] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:17] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:17] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:18] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:18] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:18] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:18] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:18] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:19] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:19] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:19] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:19] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:20] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:20] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:20] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:20] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:20] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:21] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:21] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:21] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:21] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:21] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:22] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:22] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:22] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:22] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:23] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:23] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:23] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:23] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:23] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:24] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:24] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:24] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:24] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:25] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:25] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:25] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:25] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:25] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:26] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:26] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:26] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:26] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
